c_5mM.c_0mM___padj,p_5mM.p_0mM___padj,Combined categories
7.05E-05,0.01997299,Hypothetical protein
0.001139293,0.138388606,Hypothetical protein
0.687238218,0.415888792,Hypothetical protein
0.502465855,0.121315057,Hypothetical protein
0.425780672,0.003159517,Hypothetical protein
1.94E-05,0.503302159,Hypothetical protein
0.000556798,0.084466467,Hypothetical protein
1.40E-07,0.326523848,Hypothetical protein
0.725763657,8.85E-07,Hypothetical protein
0.465477819,0.006828424,Hypothetical protein
0.103079462,7.62E-06,Hypothetical protein
0.950055073,0.000143988,Hypothetical protein
0.12622101,0.146795138,Hypothetical protein
0.023221803,4.89E-06,Hypothetical protein
3.58E-06,0.037440419,Hypothetical protein
1.32E-06,3.04E-06,Hypothetical protein
3.75E-19,0.19994415,Hypothetical protein
0.018910788,0.013344471,Hypothetical protein
0.003572578,8.53E-06,Hypothetical protein
0.00532237,0.163070604,Hypothetical protein
0.010586589,0.003735533,Hypothetical protein
0.078009294,0.014671294,Hypothetical protein
0.001097483,0.518759427,Hypothetical protein
0.00277959,0.002095864,Hypothetical protein
1.81E-07,6.62E-07,Hypothetical protein
0.073460971,0.047327512,Hypothetical protein
1.76E-06,0.013503399,Hypothetical protein
6.08E-16,0.011794337,Hypothetical protein
0.606775523,0.034075899,Hypothetical protein
0.329381043,7.40E-05,Hypothetical protein
0.005662457,2.66E-08,Hypothetical protein
0.442294743,0.084925706,Hypothetical protein
0.000560981,0.002601731,Hypothetical protein
3.31E-12,0.224755365,Hypothetical protein
0.603961575,2.45E-05,Hypothetical protein
0.068815181,0.064120137,Hypothetical protein
0.728344836,0.020633435,Hypothetical protein
0.281463169,9.00E-10,Hypothetical protein
0.974735796,0.090188711,Hypothetical protein
0.008771842,3.97E-10,Hypothetical protein
0.001169715,0.000730538,Hypothetical protein
0.000228518,3.89E-06,Hypothetical protein
0.000876182,0.000139079,Hypothetical protein
4.00E-06,4.79E-06,Hypothetical protein
0.592988292,0.003525894,Hypothetical protein
0.018093103,0.001940764,Hypothetical protein
0.010014765,0.000429058,Hypothetical protein
0.728499533,0.199788794,Hypothetical protein
0.010170774,0.002962184,Hypothetical protein
0.733526864,0.020430537,Hypothetical protein
0.035781861,0.275396202,Hypothetical protein
0.853200192,0.105498852,Hypothetical protein
0.105568953,0.744783555,Hypothetical protein
1.64E-06,0.023715318,Hypothetical protein
0.000729333,0.129928147,Hypothetical protein
0.000467306,0.028038353,Hypothetical protein
0.0105037,0.417254948,Hypothetical protein
1.19E-05,0.503688407,Hypothetical protein
0.000232388,0.003886567,Hypothetical protein
0.020116074,0.005951827,Hypothetical protein
1.77E-09,0.157680791,Hypothetical protein
0.660970493,0.63482936,Hypothetical protein
0.000380081,4.11E-06,Hypothetical protein
0.537603297,0.662963184,Hypothetical protein
0.245257556,0.397722565,Hypothetical protein
0.00011614,7.33E-13,Hypothetical protein
0.006897164,0.157442904,Hypothetical protein
0.154238025,0.438312103,Hypothetical protein
5.83E-15,0.005773196,Hypothetical protein
0.496339514,0.815465917,Hypothetical protein
0.35727141,0.017373826,Hypothetical protein
5.53E-11,0.020262523,Hypothetical protein
4.76E-05,0.653322129,Hypothetical protein
4.45E-75,0.041686892,Hypothetical protein
0.877791945,0.043682056,Hypothetical protein
0.840169694,0.079929609,Hypothetical protein
4.83E-09,0.000371924,Hypothetical protein
0.036886331,0.09058853,Hypothetical protein
1.02E-08,0.006396001,Hypothetical protein
0.085189485,0.009030281,Hypothetical protein
0.432649711,1.91E-12,Hypothetical protein
0.046812044,0.041064462,Hypothetical protein
0.350308954,0.839417565,Hypothetical protein
0.00054364,0.030297527,Hypothetical protein
0.00013906,0.001097996,Hypothetical protein
9.41E-27,0.998369037,Hypothetical protein
0.000406149,0.196496173,Hypothetical protein
0.230406591,0.070192605,Hypothetical protein
0.004590327,0.908595622,Hypothetical protein
0.092256309,0.175093198,Hypothetical protein
0.655011012,0.074207692,Hypothetical protein
0.002450369,0.054720711,Hypothetical protein
0.332257503,2.03E-06,Hypothetical protein
0.800250743,2.29E-08,Hypothetical protein
2.80E-09,3.11E-24,Hypothetical protein
9.63E-05,0.007443327,Hypothetical protein
0.20338363,7.53E-08,Hypothetical protein
0.036994445,0.140190023,Hypothetical protein
0.345726567,0.063769546,Hypothetical protein
7.91E-05,0.342334573,Hypothetical protein
0.525134349,2.52E-06,Hypothetical protein
0.129650311,5.10E-09,Hypothetical protein
5.19E-06,0.000245401,Hypothetical protein
7.23E-26,2.36E-05,Hypothetical protein
8.71E-05,0.002403686,Hypothetical protein
0.003534696,0.189209327,Hypothetical protein
0.387621882,0.129978139,Hypothetical protein
1.48E-08,0.044376605,Hypothetical protein
0.001765583,0.831464366,Hypothetical protein
0.749657312,0.548112549,Hypothetical protein
0.080848959,0.751925656,Hypothetical protein
1.14E-05,0.011397689,Hypothetical protein
2.75E-11,0.412216129,Hypothetical protein
1.31E-09,0.000239057,Hypothetical protein
0.761825719,0.036191812,Hypothetical protein
0.00110165,0.059196903,Hypothetical protein
0.014092233,0.490470718,Hypothetical protein
0.003210021,0.164098734,Hypothetical protein
0.000458543,0.9463069,Hypothetical protein
0.632806957,2.13E-05,Hypothetical protein
2.69E-32,0.017004361,Hypothetical protein
1.14E-08,0.571661509,Hypothetical protein
0.000930825,0.007753762,Hypothetical protein
0.047144385,0.063125968,Hypothetical protein
0.835740742,0.643359494,Hypothetical protein
0.424651689,0.462201061,Hypothetical protein
0.009372619,0.000841405,Hypothetical protein
8.89E-19,0.059865385,Hypothetical protein
0.005675416,0.038527559,Hypothetical protein
2.61E-09,0.413379954,Hypothetical protein
0.011453885,0.040408657,Hypothetical protein
9.91E-09,0.467509828,Hypothetical protein
0.055475379,1.45E-11,Hypothetical protein
0.138894578,0.424533648,Hypothetical protein
3.00E-05,0.034522633,Hypothetical protein
0.124882685,0.134502982,Hypothetical protein
0.000909977,0.915160476,Hypothetical protein
0.861716043,0.433093016,Hypothetical protein
0.328407645,0.697841557,Hypothetical protein
0.241272198,2.22E-05,Hypothetical protein
0.070731441,0.058319248,Hypothetical protein
0.797267395,0.693230356,Hypothetical protein
0.301099142,0.553929454,Hypothetical protein
0.015213077,0.079204708,Hypothetical protein
0.68693951,0.383397082,Hypothetical protein
0.0316712,0.026341212,Hypothetical protein
0.00033775,0.478688054,Hypothetical protein
5.78E-06,1.23E-10,Hypothetical protein
0.424281923,0.063434623,Hypothetical protein
0.000236883,0.000857815,Hypothetical protein
0.032126422,0.001294492,Hypothetical protein
0.01014301,0.005448503,Hypothetical protein
0.002779885,0.013578383,Hypothetical protein
0.004460312,0.046798754,Hypothetical protein
0.004618092,0.079204708,Hypothetical protein
0.003830383,0.464586358,Hypothetical protein
0.365746527,0.017004361,Hypothetical protein
0.0123904,0.018741709,Hypothetical protein
0.995112164,0.375530826,Hypothetical protein
0.659884713,0.815440667,Hypothetical protein
7.10E-07,0.001584894,Hypothetical protein
0.008465771,0.002551428,Hypothetical protein
0.612930471,6.94E-09,Hypothetical protein
0.240443045,0.309538037,Hypothetical protein
0.68693951,0.877183275,Hypothetical protein
0.118773823,0.022200872,Hypothetical protein
0.005303207,9.69E-07,Hypothetical protein
1.40E-05,6.03E-18,Hypothetical protein
0.179987989,0.000149958,Hypothetical protein
1.46E-15,0.021319989,Hypothetical protein
9.41E-07,0.319718632,Hypothetical protein
0.000169216,3.14E-12,Hypothetical protein
0.042759701,0.126471811,Hypothetical protein
0.064885167,0.117597536,Hypothetical protein
0.050616781,0.793134848,Hypothetical protein
0.586628711,0.01445881,Hypothetical protein
2.58E-05,5.04E-05,Hypothetical protein
0.00015158,0.319813086,Hypothetical protein
0.777916871,0.156770053,Hypothetical protein
2.12E-14,0.016391591,Hypothetical protein
0.655792511,0.00020376,Hypothetical protein
0.674350849,0.001079466,Hypothetical protein
0.000226151,0.004407522,Hypothetical protein
6.77E-25,1.63E-05,Hypothetical protein
0.115165921,0.012045851,Hypothetical protein
0.001726575,0.539772737,Hypothetical protein
0.04873123,0.001224812,Hypothetical protein
0.128459711,0.00557278,Hypothetical protein
0.000106557,0.069122952,Hypothetical protein
0.202481175,0.521955636,Hypothetical protein
0.07184339,0.673559062,Hypothetical protein
0.013450198,0.011105089,Hypothetical protein
0.583968315,0.45287493,Hypothetical protein
4.96E-21,2.19E-05,Hypothetical protein
0.649751959,0.499281664,Hypothetical protein
0.032918504,0.863531934,Hypothetical protein
2.15E-09,0.537718572,Hypothetical protein
2.01E-09,0.12125746,Hypothetical protein
0.2231372,0.2085966,Hypothetical protein
1.13E-07,5.66E-05,Hypothetical protein
1.14E-18,2.46E-07,Hypothetical protein
0.2990084,5.42E-05,Hypothetical protein
0.0706807,4.81E-07,Hypothetical protein
0.83894,0.00175671,Hypothetical protein
0.5441984,1.76E-05,Hypothetical protein
0.01021231,0.3908174,Hypothetical protein
1.61E-10,0.03581434,Hypothetical protein
0.002175843,0.04090654,Hypothetical protein
0.1371859,0.04747797,Hypothetical protein
0.5435356,0.6120726,Hypothetical protein
0.09323665,0.002888941,Hypothetical protein
0.888805,3.23E-06,Hypothetical protein
2.78E-11,1.24E-05,Hypothetical protein
0.06321557,0.1261464,Hypothetical protein
0.3651064,0.06896867,Hypothetical protein
0.7271813,0.05180498,Hypothetical protein
0.000168387,0.3231565,Hypothetical protein
0.000518294,0.712571,Hypothetical protein
0.02799823,0.003862515,Hypothetical protein
0.8819677,1.30E-06,Hypothetical protein
0.655011,0.1285907,Hypothetical protein
0.1810931,0.1026771,Hypothetical protein
0.6271655,0.7314532,Hypothetical protein
0.05318063,0.2160475,Hypothetical protein
0.003751299,0.6836019,Hypothetical protein
0.001715408,0.3791236,Hypothetical protein
0.06704518,0.000634717,Hypothetical protein
0.001698131,0.02643277,Hypothetical protein
0.2850518,0.2149179,Hypothetical protein
8.55E-21,0.1655476,Hypothetical protein
0.00013041,0.006514816,Hypothetical protein
0.000154281,0.1758405,Hypothetical protein
0.9710905,0.001426418,Hypothetical protein
2.00E-05,0.8494452,Hypothetical protein
8.90E-07,3.53E-06,Hypothetical protein
9.15E-07,5.91E-08,Hypothetical protein
3.03E-20,0.05221738,Hypothetical protein
3.83E-07,3.51E-07,Hypothetical protein
2.32E-19,0.003858502,Hypothetical protein
0.006996997,0.3513148,Hypothetical protein
0.000299889,0.1102247,Hypothetical protein
0.2983808,0.1139271,Hypothetical protein
0.9433661,0.6113339,Hypothetical protein
0.58072,0.000137378,Hypothetical protein
0.01248351,0.000131217,Hypothetical protein
0.01804202,0.6470929,Hypothetical protein
0.000842223,0.1111604,Hypothetical protein
0.4034082,0.072906,Hypothetical protein
0.5088634,0.7209002,Hypothetical protein
0.4151421,7.01E-05,Hypothetical protein
0.955681,0.2004352,Hypothetical protein
0.005144948,0.003529241,Hypothetical protein
0.3057764,0.001143193,Hypothetical protein
9.17E-16,0.000438313,Hypothetical protein
1.62E-12,0.007289295,Hypothetical protein
0.002916418,0.000574013,Hypothetical protein
0.09247612,0.01182087,Hypothetical protein
0.001765583,2.86E-06,Hypothetical protein
0.001837596,1.03E-06,Hypothetical protein
1.69E-06,0.000487154,Hypothetical protein
0.2378269,1.71E-05,Hypothetical protein
0.000284298,0.005428259,Hypothetical protein
1.94E-09,0.08770709,Hypothetical protein
0.02321772,3.20E-05,Hypothetical protein
0.9148532,0.7429728,Hypothetical protein
0.3629409,0.6065783,Hypothetical protein
0.3274163,1.67E-19,Hypothetical protein
0.2247369,1.93E-06,Hypothetical protein
0.09801311,0.5977727,Hypothetical protein
0.001408938,0.1417248,Hypothetical protein
0.9179947,7.82E-05,Hypothetical protein
0.9133552,0.004652059,Hypothetical protein
0.01213483,1.05E-09,Hypothetical protein
0.6168365,0.007751956,Hypothetical protein
0.6663106,0.0017305,Hypothetical protein
0.7182794,0.2401659,Hypothetical protein
0.7163103,0.9357075,Hypothetical protein
0.661783,0.1024225,Hypothetical protein
0.009086334,4.64E-05,Hypothetical protein
0.1090697,1.57E-07,Hypothetical protein
0.01656525,0.1335671,Hypothetical protein
0.000181159,4.68E-05,Hypothetical protein
0.4257807,0.08720707,Hypothetical protein
0.5172185,0.03386484,Hypothetical protein
0.4750245,0.7838416,Hypothetical protein
0.2073378,0.1304276,Hypothetical protein
0.8453402,0.4005869,Hypothetical protein
0.002490508,0.003002272,Hypothetical protein
0.3252299,0.9971921,Hypothetical protein
9.90E-18,3.36E-06,Hypothetical protein
0.9087398,3.93E-09,Hypothetical protein
0.1112033,0.02048425,Hypothetical protein
1.44E-14,2.86E-06,Hypothetical protein
0.0126024,0.01474291,Hypothetical protein
0.002535646,0.6740401,Hypothetical protein
4.47E-09,0.02241996,Hypothetical protein
4.01E-07,0.1659009,Hypothetical protein
0.4875982,0.5650147,Hypothetical protein
0.02468711,0.2510836,Hypothetical protein
0.000305187,0.5189693,Hypothetical protein
2.57E-05,1.21E-05,Hypothetical protein
0.01146583,0.1449436,Hypothetical protein
0.4038731,1.26E-11,Hypothetical protein
0.7753537,0.001411289,Hypothetical protein
4.98E-06,0.001859906,Hypothetical protein
1.30E-14,0.002476121,Hypothetical protein
0.2904914,4.21E-05,Hypothetical protein
0.09343018,1.49E-05,Hypothetical protein
0.7444853,8.24E-11,Hypothetical protein
0.2716084,0.9918126,Hypothetical protein
0.13856,0.4347516,Hypothetical protein
0.4578494,0.1299281,Hypothetical protein
2.62E-05,0.000579628,Hypothetical protein
0.421567,5.24E-13,Hypothetical protein
0.05364449,0.000196283,Hypothetical protein
0.2636931,3.49E-09,Hypothetical protein
0.4818857,0.537598,Hypothetical protein
0.09174158,0.01374383,Hypothetical protein
0.009730499,5.52E-05,Hypothetical protein
2.37E-06,0.00018867,Hypothetical protein
1.44E-05,0.767067,Hypothetical protein
0.07803392,0.215811,Hypothetical protein
0.000559,0.002565891,Hypothetical protein
0.008414027,0.000377981,Hypothetical protein
0.5441984,0.000731777,Hypothetical protein
0.000997667,0.06129653,Hypothetical protein
0.008396035,0.9517409,Hypothetical protein
0.8137657,0.002735037,Hypothetical protein
0.7315664,2.62E-05,Hypothetical protein
7.46E-05,0.8073523,Hypothetical protein
0.008731083,0.5424505,Hypothetical protein
0.09774231,0.8179012,Hypothetical protein
0.1249795,0.000348548,Hypothetical protein
0.002169401,0.8023712,Hypothetical protein
5.49E-09,0.04341776,Hypothetical protein
1.58E-07,0.001767196,Hypothetical protein
0.01469528,0.09713441,Hypothetical protein
0.245477,0.8170469,Hypothetical protein
1.91E-05,1.49E-05,Hypothetical protein
0.5003454,0.5302399,Hypothetical protein
0.000467525,0.9838885,Hypothetical protein
9.08E-06,0.1039067,Hypothetical protein
0.02718748,0.00271873,Hypothetical protein
1.45E-06,5.79E-07,Hypothetical protein
0.8155801,0.09786662,Hypothetical protein
0.375377,0.5688369,Hypothetical protein
7.38E-10,3.45E-06,Hypothetical protein
0.2020369,0.001295255,Hypothetical protein
0.1763545,0.3551706,Hypothetical protein
3.08E-08,0.0003109,Hypothetical protein
0.04483182,0.000123427,Hypothetical protein
0.2848252,0.2318559,Hypothetical protein
0.002667019,0.003877021,Hypothetical protein
0.427049,1.98E-05,Hypothetical protein
0.000105003,0.1760162,Hypothetical protein
5.94E-13,6.23E-09,Hypothetical protein
0.000314696,0.1651607,Hypothetical protein
3.06E-06,0.001166937,Hypothetical protein
0.032908,0.194537,Hypothetical protein
0.3518791,0.08658625,Hypothetical protein
0.6047341,0.007775677,Hypothetical protein
0.1257906,0.4275389,Hypothetical protein
0.03252571,0.9394509,Hypothetical protein
0.00172952,0.4709539,Hypothetical protein
1.19E-05,0.001253329,Hypothetical protein
0.5405198,0.004175456,Hypothetical protein
0.01029529,0.000140983,Hypothetical protein
0.6197321,0.000649543,Hypothetical protein
5.62E-09,0.6645386,Hypothetical protein
0.0019855,0.1053393,Hypothetical protein
0.001098122,0.000805395,Hypothetical protein
0.1101919,0.02431683,Hypothetical protein
0.2939741,0.7690793,Hypothetical protein
0.003728272,0.000125804,Hypothetical protein
0.000132178,0.03475353,Hypothetical protein
2.07E-05,0.2615332,Hypothetical protein
0.4314894,0.03132861,Hypothetical protein
0.000107492,0.3569338,Hypothetical protein
0.09039291,0.5141705,Hypothetical protein
0.6846636,0.07929233,Hypothetical protein
7.30E-18,0.3551706,Hypothetical protein
0.08696756,0.000563587,Hypothetical protein
0.5467351,0.4010143,Hypothetical protein
6.61E-14,1.03E-11,Hypothetical protein
9.05E-19,0.4794163,Hypothetical protein
6.68E-06,0.01989911,Hypothetical protein
0.2267174,0.3347423,Hypothetical protein
5.93E-06,0.00288623,Hypothetical protein
0.07223633,0.4094837,Hypothetical protein
0.5848008,0.1040331,Hypothetical protein
0.9241831,0.3963145,Hypothetical protein
0.5745541,0.1690247,Hypothetical protein
1.04E-05,1.86E-07,Hypothetical protein
0.008940689,9.07E-06,Hypothetical protein
0.008031512,0.00413501,Hypothetical protein
0.03127416,0.1627069,Hypothetical protein
0.01199953,1.74E-05,Hypothetical protein
0.6787253,1.21E-05,Hypothetical protein
0.1445405,1.27E-07,Hypothetical protein
2.82E-16,3.61E-09,Hypothetical protein
0.02611272,0.000629547,Hypothetical protein
5.20E-28,7.84E-12,Hypothetical protein
6.51E-09,0.5911255,Hypothetical protein
0.000713281,0.7174782,Hypothetical protein
0.6726003,0.6629796,Hypothetical protein
0.01322183,4.35E-05,Hypothetical protein
0.06451079,0.01599146,Hypothetical protein
1.83E-31,0.002264788,Hypothetical protein
0.1390447,0.02374519,Hypothetical protein
0.000927786,4.28E-10,Hypothetical protein
0.2183252,0.1227265,Hypothetical protein
0.06704518,0.340564,Hypothetical protein
5.76E-05,9.77E-08,Hypothetical protein
1.67E-08,0.004290043,Hypothetical protein
0.01022822,0.5499705,Hypothetical protein
0.007785763,0.09908701,Hypothetical protein
0.000153536,0.07436199,Hypothetical protein
0.04559949,9.62E-08,Hypothetical protein
0.7078501,0.009582572,Hypothetical protein
7.62E-12,0.02479355,Hypothetical protein
0.001236582,1.31E-07,Hypothetical protein
5.18E-07,0.000337136,Hypothetical protein
0.8608903,2.65E-06,Hypothetical protein
2.28E-14,0.009607661,Hypothetical protein
0.02889015,0.000545628,Hypothetical protein
3.98E-07,0.5848575,Hypothetical protein
0.228716,0.03117278,Hypothetical protein
5.76E-05,0.5091181,Hypothetical protein
0.001908267,0.1851865,Hypothetical protein
0.3934108,0.7636996,Hypothetical protein
1.98E-05,3.45E-15,Hypothetical protein
0.001050077,0.7130521,Hypothetical protein
0.005491246,0.1901053,Hypothetical protein
0.2002657,0.0714776,Hypothetical protein
0.00156543,0.3891189,Hypothetical protein
0.3199916,0.5485037,Hypothetical protein
0.009305805,0.3195876,Hypothetical protein
0.8050952,0.03743791,Hypothetical protein
1.10E-07,0.8408893,Hypothetical protein
0.2448502,0.001749433,Hypothetical protein
0.6647219,0.01460932,Hypothetical protein
0.02597968,0.00033439,Hypothetical protein
1.77E-12,0.000272643,Hypothetical protein
0.002199885,0.000240243,Hypothetical protein
0.7809648,0.9570767,Hypothetical protein
0.9084019,3.39E-06,Hypothetical protein
0.06310751,0.000112352,Hypothetical protein
6.09E-10,0.1860514,Hypothetical protein
0.478241,0.5312576,Hypothetical protein
0.01814261,0.3575877,Hypothetical protein
0.5457181,0.599895,Hypothetical protein
0.02135415,9.26E-06,Hypothetical protein
0.03337004,0.04962616,Hypothetical protein
0.2332649,0.5915854,Hypothetical protein
0.0971019,0.1160945,Hypothetical protein
0.7650219,0.7843031,Hypothetical protein
0.03198815,0.001624536,Hypothetical protein
0.01909525,1.29E-10,Hypothetical protein
0.000931107,4.80E-13,Hypothetical protein
0.001372312,0.000119131,Hypothetical protein
2.14E-09,0.003562138,Hypothetical protein
0.5511059,0.09709595,Hypothetical protein
0.6512529,0.004351156,Hypothetical protein
1.35E-10,0.6123633,Hypothetical protein
0.4370527,0.1678045,Hypothetical protein
0.2033992,2.73E-05,Hypothetical protein
0.000323831,0.00051191,Hypothetical protein
1.97E-06,2.68E-08,Hypothetical protein
0.02866487,4.54E-05,Hypothetical protein
0.00119374,0.002006376,Hypothetical protein
0.37234,0.7489595,Hypothetical protein
0.004994281,0.6575312,Hypothetical protein
0.000398143,0.7958504,Hypothetical protein
0.1250767,0.7678656,Hypothetical protein
0.003121489,0.02937769,Hypothetical protein
0.4422947,0.651373,Hypothetical protein
0.6801971,0.2059539,Hypothetical protein
0.4656748,0.2069714,Hypothetical protein
0.03946139,0.2807581,Hypothetical protein
0.1537427,6.68E-09,Hypothetical protein
0.1306494,0.03940159,Hypothetical protein
0.250463606,5.93E-05,Hypothetical protein
0.000132418,5.15E-27,Hypothetical protein
0.976639631,1.46E-26,Hypothetical protein
0.012733204,1.59E-14,Hypothetical protein
1.61E-08,1.13E-41,Hypothetical protein
0.505881368,0.00721224,Hypothetical protein
0.429473964,1.19E-05,Hypothetical protein
0.043950279,2.16E-09,Hypothetical protein
6.16E-10,6.41E-16,Hypothetical protein
0.084299783,0.000634717,Hypothetical protein
0.926070738,4.66E-58,Hypothetical protein
0.006056637,1.11E-08,Hypothetical protein
1.09E-05,3.47E-07,Hypothetical protein
1.28E-06,5.40E-24,Hypothetical protein
0.000145024,8.51E-38,Hypothetical protein
2.35E-28,1.52E-10,Hypothetical protein
1.48E-08,1.19E-10,Hypothetical protein
7.74E-12,2.39E-46,Hypothetical protein
0.000481492,6.12E-10,Hypothetical protein
0.602617588,5.40E-41,Hypothetical protein
0.026935976,3.09E-10,Hypothetical protein
7.07E-08,1.88E-05,Hypothetical protein
0.088854279,5.31E-07,Hypothetical protein
7.36E-12,5.81E-12,Hypothetical protein
3.06E-12,1.05E-16,Hypothetical protein
0.022126731,1.24E-22,Hypothetical protein
0.504053972,0.013743831,Hypothetical protein
0.124071867,1.86E-10,Hypothetical protein
0.247759745,8.16E-07,Hypothetical protein
0.579962597,4.96E-05,Hypothetical protein
0.14837785,0.000377267,Hypothetical protein
0.683203827,1.68E-22,Hypothetical protein
0.676348976,9.26E-08,Hypothetical protein
0.503356023,1.14E-27,Hypothetical protein
1.88E-96,2.51E-36,Hypothetical protein
2.21E-65,1.07E-06,Hypothetical protein
0.215618729,8.90E-14,Hypothetical protein
1.26E-31,2.00E-18,Hypothetical protein
0.011503397,5.00E-14,Hypothetical protein
0.377014208,2.35E-06,Hypothetical protein
1.12E-07,3.96E-08,Hypothetical protein
0.733596955,0.000505282,Hypothetical protein
4.76E-05,5.74E-45,Hypothetical protein
0.000521634,3.67E-14,Hypothetical protein
0.860839791,9.58E-22,Hypothetical protein
0.000123122,7.87E-09,Hypothetical protein
2.31E-05,6.30E-06,Hypothetical protein
0.001442647,0.00012882,Hypothetical protein
5.28E-05,1.76E-09,Hypothetical protein
7.63E-40,4.84E-16,Hypothetical protein
0.176284907,0.004463826,Hypothetical protein
0.000259992,8.38E-20,Hypothetical protein
0.001385951,0.00604088,Hypothetical protein
0.009986729,8.41E-08,Hypothetical protein
9.94E-06,0.000138813,Hypothetical protein
0.000205205,0.000538274,Hypothetical protein
0.07157019,2.82E-17,Hypothetical protein
0.129417859,0.000462048,Hypothetical protein
0.156465567,9.44E-05,Hypothetical protein
0.20358572,1.99E-09,Hypothetical protein
0.014031548,9.10E-16,Hypothetical protein
0.005007941,7.16E-16,Hypothetical protein
0.377313479,4.57E-07,Hypothetical protein
1.63E-07,1.21E-08,Hypothetical protein
0.022126731,0.000905336,Hypothetical protein
0.092612021,0.00022772,Hypothetical protein
0.292073266,0.001324584,Hypothetical protein
0.398887876,1.03E-07,Hypothetical protein
6.43E-28,1.11E-11,Hypothetical protein
1.39E-07,1.41E-19,Hypothetical protein
1.35E-05,1.59E-06,Hypothetical protein
0.041816546,0.000461687,Hypothetical protein
0.022119998,5.27E-26,Hypothetical protein
0.864062997,1.38E-25,Hypothetical protein
0.545347043,9.98E-09,Hypothetical protein
0.132321329,1.74E-20,Hypothetical protein
0.071482955,0.00069798,Hypothetical protein
0.00184636,2.07E-05,Hypothetical protein
0.050324467,6.65E-19,Hypothetical protein
0.797267395,0.000318431,Hypothetical protein
0.149597636,3.13E-43,Hypothetical protein
0.026076629,1.04E-12,Hypothetical protein
0.000468707,1.11E-16,Hypothetical protein
0.451101329,6.42E-29,Hypothetical protein
2.08E-10,1.51E-07,Hypothetical protein
0.000565601,5.32E-33,Hypothetical protein
0.191275563,3.59E-11,Hypothetical protein
0.612821613,2.31E-05,Hypothetical protein
0.022232679,2.14E-05,Hypothetical protein
1.43E-06,1.46E-14,Hypothetical protein
0.691789729,6.76E-05,Hypothetical protein
0.003889551,4.57E-09,Hypothetical protein
0.082827033,3.92E-17,Hypothetical protein
0.000345618,9.44E-09,Hypothetical protein
0.913355247,3.80E-11,Hypothetical protein
5.08E-05,6.73E-11,Hypothetical protein
0.300697825,3.88E-05,Hypothetical protein
0.870682759,1.62E-25,Hypothetical protein
0.749657312,2.06E-05,Hypothetical protein
0.000750739,5.80E-10,Hypothetical protein
0.156958177,2.18E-16,Hypothetical protein
9.95E-07,1.54E-21,Hypothetical protein
0.116745423,0.002719651,Hypothetical protein
5.79E-28,5.91E-10,Hypothetical protein
0.089501161,0.004917355,Hypothetical protein
0.249405161,1.55E-20,Hypothetical protein
0.07439476,3.39E-07,Hypothetical protein
2.41E-11,1.01E-15,Hypothetical protein
7.77E-08,3.45E-09,Hypothetical protein
2.07E-17,7.75E-18,Hypothetical protein
2.02E-05,4.29E-11,Hypothetical protein
6.33E-12,3.13E-07,Hypothetical protein
0.003432645,8.81E-13,Hypothetical protein
1.60E-18,3.90E-21,Hypothetical protein
0.9953824,2.97E-05,Hypothetical protein
0.2934977,1.51E-11,Hypothetical protein
0.0185997,1.97E-11,Hypothetical protein
4.93E-06,4.92E-23,Hypothetical protein
5.68E-09,1.30E-05,Hypothetical protein
3.74E-13,1.80E-08,Hypothetical protein
0.5510193,2.61E-27,Hypothetical protein
0.001011811,2.34E-13,Hypothetical protein
0.002243253,3.81E-11,Hypothetical protein
0.1569582,4.31E-05,Hypothetical protein
3.07E-15,7.15E-16,Hypothetical protein
0.2653526,3.76E-05,Hypothetical protein
5.93E-06,2.13E-28,Hypothetical protein
9.39E-09,5.16E-15,Hypothetical protein
1.39E-14,5.27E-08,Hypothetical protein
0.9771745,2.31E-32,Hypothetical protein
0.4434229,2.17E-05,Hypothetical protein
0.008075616,4.01E-08,Hypothetical protein
0.01022822,1.60E-10,Hypothetical protein
4.83E-07,3.44E-31,Hypothetical protein
1.89E-05,3.47E-07,Hypothetical protein
2.92E-124,2.17E-12,Hypothetical protein
0.001713879,5.73E-09,Hypothetical protein
1.61E-07,2.06E-40,Hypothetical protein
0.3976073,6.12E-14,Hypothetical protein
0.826046,9.26E-28,Hypothetical protein
0.03547978,4.20E-14,Hypothetical protein
0.7022507,0.003454492,Hypothetical protein
4.07E-09,3.60E-16,Hypothetical protein
0.2041477,0.02606239,Hypothetical protein
0.1946516,7.00E-09,Hypothetical protein
0.9387104,1.60E-16,Hypothetical protein
1.51E-05,0.328769878,Hypothetical protein
1.18E-09,0.040008302,Hypothetical protein
2.24E-24,0.846629247,Hypothetical protein
9.27E-08,0.287106587,Hypothetical protein
0.117631908,0.000796285,Hypothetical protein
4.52E-09,0.034523034,Hypothetical protein
5.32E-25,0.054107992,Hypothetical protein
6.03E-10,0.000658185,Hypothetical protein
2.99E-13,0.726812799,Hypothetical protein
6.14E-13,0.171187784,Hypothetical protein
2.69E-28,0.126366532,Hypothetical protein
5.86E-33,3.61E-05,Hypothetical protein
1.63E-13,0.000351014,Hypothetical protein
3.44E-46,0.000102634,Hypothetical protein
0.259361464,0.74603432,Hypothetical protein
1.69E-07,0.090146877,Hypothetical protein
1.14E-23,0.000310684,Hypothetical protein
0.865890076,2.57E-06,Hypothetical protein
1.51E-19,0.001048172,Hypothetical protein
2.09E-17,0.3419272,Hypothetical protein
